,Expediente,ID de publicación en TED,Órgano de Contratación,ID del Órgano de Contratación,Estado de la Licitación,Objeto del contrato,Financiación UE,Presupuesto base de licitación sin impuestos,Valor estimado del contrato:,Tipo de Contrato:,Código CPV,Lugar de Ejecución,Sistema de contratación,Procedimiento de contratación,Tipo de tramitación,Método de presentación de la oferta,Fecha fin de presentación de oferta,Resultado,Adjudicatario,Nº de Licitadores Presentados,Importe de Adjudicación,Lote / Descripción ,Fecha fin de presentación de solicitud
157,861_2024_131,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Evaluación,"Contratación del suministro, mediante adquisición, de 2 motos para la Policía Local del Ayuntamiento de A Coruña",No hay financiación con fondos de la UE,"37,190.08 Euros","37,190.08 Euros",Suministros,34410000-Motocicletas.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,27/12/2024 23:59,nan,nan,nan,nan,No disponible,nan
158,CI1_2024_400,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Ejecución de las Obras comprendidas en el Proyecto de Reparación y Reposición del Sistema de Climatización de la Fundación Luis Seoane - Fase 2,No hay financiación con fondos de la UE,"368,557.04 Euros","1,025,634.33 Euros",Obras,"45331000-Trabajos de instalación de calefacción, ventilación y aire acondicionado.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,SERANCO S.A.U.,1,"364,200.00 Euros",No disponible,nan
159,541_2021_1774,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Obras de Conservación y Mantenimiento en el segundo departamento del Cementerio de San Amaro, cofinanciadas en un 80 % por el Fondo Europeo de Desarrollo Regional (FEDER) en el Marco del Programa Operativo Plurirregional de España 2014-2020",Fondo Europeo de Desarrollo Regional,"103,655.78 Euros","103,655.78 Euros",Obras,"45233200-Trabajos diversos de pavimentación., 45261320-Colocación de canalones., 45261410-Trabajos de aislamiento para tejados., 45261420-Trabajos de impermeabilización., 45261910-Reparación de tejados.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Adjudicado,BCNOR Gestion y Soluciones Avanzadas S.L.,2,"103,493.81 Euros",No disponible,nan
160,222_2021_3513,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Servicio para la organización, desarrollo, programación y ejecución de actividades en los centros cívicos municipales y otras dependencias de la Concejalía de Igualdad, Bienestar Social y Participación del Ayuntamiento.",No hay financiación con fondos de la UE,"467,321.91 Euros","1,401,965.73 Euros",Servicios,"85300000-Servicios de asistencia social y servicios conexos., 85310000-Servicios de asistencia social., 85311100-Servicios de bienestar social proporcionados a ancianos., 85311300-Servicios de bienestar social proporcionados a niños y jóvenes., 85320000-Servicios sociales., 85322000-Programa de acción municipal., 98133100-Servicios para el mejoramiento cívico y de apoyo a los servicios para la comunidad.",España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
161,106_2021_581,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Redacción del plan de dinamización del área de regeneración urbana de interés autonómico en el ámbito discontinuo formado por la almendra central de la Ciudad Vieja y el eje Orzán - Panaderas.,No hay financiación con fondos de la UE,"42,216.37 Euros","42,216.37 Euros",Servicios,"71240000-Servicios de arquitectura, ingeniería y planificación.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Adjudicado,MUÑIZ MAS ALFAYA SLP,1,"37,200.00 Euros",No disponible,nan
162,831_2021_118,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Suministro de una cabina de limpieza, desinfección y secado de los equipos de protección individual del Servicio de Prevención, Extinción de incendios y Salvamento del Ayuntamiento de A Coruña",No hay financiación con fondos de la UE,"75,208.86 Euros","75,208.86 Euros",Suministros,"33191000-Aparatos para esterilización, desinfección e higiene., 42716110-Equipo de lavado., 42924720-Equipo de descontaminación.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Desierto,,1,Euros,No disponible,nan
163,105_2021_6365,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Servicio de Organización de actividades para fomento y promoción de corales para mayores en Centros Cívicos Municipales,No hay financiación con fondos de la UE,"23,479.39 Euros","70,438.17 Euros",Servicios,"85311100-Servicios de bienestar social proporcionados a ancianos., 85320000-Servicios sociales., 85322000-Programa de acción municipal., 98133100-Servicios para el mejoramiento cívico y de apoyo a los servicios para la comunidad.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Adjudicado,Chíos Formación,2,"19,980.00 Euros",No disponible,nan
164,541_2019_1596,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Obras comprendidas en el proyecto de “ACONDICIONAMIENTOS VARIOS EN EL CEMENTERIO DE SAN AMARO”, incluido en el marco general de la Estrategia DUSI de A Coruña y forma parte de una operación financiada por el Fondo Europeo de Desarrollo Regional (FEDER) en el marco del eje 12 de desarrollo urbano del Programa Operativo de Crecimiento Sostenible, actualmente Programa Operativo Plurirregional de España (POPE) con un coeficiente de cofinanciación del FEDER del 80%.",,"342,939.35 Euros","342,939.35 Euros",Obras,"45262520-Trabajos de albañilería., 45112000-Trabajos de excavación y movimiento de tierras., 45233200-Trabajos diversos de pavimentación., 45310000-Trabajos de instalación eléctrica., 45330000-Trabajos de fontanería., 45421146-Instalación de falsos techos.",España - A Coruña,,Abierto simplificado,Ordinaria,Electrónica,nan,Adjudicado,IAM RUMBO INSTALACIONES Y OBRAS S.L.,18,"245,133.04 Euros",No disponible,nan
165,526_2020_61,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Parcialmente Resuelta,"Contratación, por lotes, del servicio de organización e impartición de acciones formativas del Servicio Municipal de Empleo y Empresa",No hay financiación con fondos de la UE,"208,826.38 Euros","417,652.76 Euros",Servicios,80000000-Servicios de enseñanza y formación.,España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,18/12/2020 23:59,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
166,527_2021_76,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Contrato de Actualización y Mantenimiento de la identificación y Maping de los locales comerciales en alquiler en el término municipal de A Coruña,No hay financiación con fondos de la UE,"24,779.40 Euros","24,779.40 Euros",Servicios,"71356200-Servicios de asistencia técnica., 72267000-Servicios de mantenimiento y reparación de software., 72267100-Mantenimiento de «software» de tecnología de la información., 72540000-Servicios de actualización informática., 79310000-Servicios de estudios de mercado., 79311000-Servicios de estudios.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Adjudicado,"CONSULTORA DE INGENIERÍA Y EMPRESA, S.L.",1,"24,750.00 Euros",No disponible,nan
167,521_2021_458,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Ejecución de las obras contenidas en el proyecto denominado “Proyecto modificado de urbanización de la calle Cortaduría. Ámbito Ciudad Vieja. A Coruña” redactado por Juan Pinto Tasende, firmado digitalmente el 08 de mayo de 2021 y aprobado mediante Resolución del concejal delegado de Urbanismo, Vivienda, Infraestructuras y Movilidad de fecha 17 de junio de 2021.",Fondo Europeo de Desarrollo Regional,"254,423.76 Euros","254,423.76 Euros",Obras,45233252-Trabajos de pavimentación de calles.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Adjudicado,MANUEL RIVAS BOQUETE S.L.,7,"206,074.38 Euros",No disponible,nan
168,211_2020_724,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Ejecución de las obras descritas en el Proyecto de Construcción de pista de patinaje en Novo Mesoiro,,"180,798.02 Euros","180,798.02 Euros",Obras,"45212210-Trabajos de construcción de instalaciones deportivas para la práctica de un solo deporte., 45212211-Trabajos de construcción de pistas de patinaje.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Adjudicado,Jardineria Arce S.L.,3,"158,198.26 Euros",No disponible,nan
169,A31_2021_32,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Contrato mixto de suministro y mantenimiento de un sistema de servicios digitales en el ámbito de la gestión deportiva susceptible de financiación, como parte de la respuesta de la Unión Europea a la pandemia de Covid-19, en el marco del eje React UE o del programa Nextgenerationeu",,"45,500.00 Euros","58,500.00 Euros",Servicios,"72267100-Mantenimiento de «software» de tecnología de la información., 48000000-Paquetes de software y sistemas de información.",España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Adjudicado,"I2A PROYECTOS INFORMÁTICOS, S.A.",2,"27,360.00 Euros",No disponible,nan
170,831_2021_10,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Suministro de 108 trajes de rescate técnico para el SEIS del Ayuntamiento de A Coruña,,"43,200.00 Euros","43,200.00 Euros",Suministros,"35113400-Ropa de protección y de seguridad., 35811100-Uniformes para el cuerpo de bomberos.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Adjudicado,PROTEC SOLANA S.L.,1,"43,194.60 Euros",No disponible,nan
171,A31_2021_13,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Servicio de apoyo y coordinación en proyectos tecnológicos municipales,,"166,500.00 Euros","499,500.00 Euros",Servicios,72200000-Servicios de programación de «software» y de consultoría.,España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Adjudicado,"GRANT THORTON, S.L.P.",8,0.00 Euros,No disponible,nan
172,A31_2021_11,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Servicio de soporte del software de gestión de la contabilidad municipal: SICALWin y Firmadoc.,,"32,793.39 Euros","157,408.26 Euros",Servicios,72200000-Servicios de programación de «software» y de consultoría.,España - A Coruña,No aplica,Negociado sin publicidad,Ordinaria,Electrónica,nan,Adjudicado,"AYTOS SOLUCIONES INFORMÁTICAS, S.L.U",1,"32,793.39 Euros",No disponible,nan
173,861_2020_154,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Contratación del suministro por lotes, mediante la modalidad de renting, de 7 vehículos patrulla y 5 furgonetas con distintivos para el servicio de la Policía Local",,"182,644.63 Euros","730,578.52 Euros",Suministros,34114200-Automóviles de policía.,España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
174,000_2021_40,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Edición, impresión y distribución del almanaque de sobremesa del Ayuntamiento de A Coruña correspondiente al año 2022 y suministro de 9.700 ejemplares.",,"5,141.00 Euros","69,778.00 Euros",Servicios,"79824000-Servicios de impresión y distribución., 22300000-Tarjetas postales, tarjetas de felicitación y otro material impreso.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Adjudicado,"GRAFICAS LASA, SL",2,"3,105.00 Euros",No disponible,nan
175,236_2021_4,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Proyecto de rehabilitación energética de las fachadas del CEIP María Pita (fase 2),,"156,538.29 Euros","156,538.29 Euros",Obras,"45261400-Trabajos de revestimiento., 45262650-Trabajos de revestimiento de fachadas., 45421160-Trabajos de cerrajería y carpintería metálica.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Adjudicado,DESARROLLA OBRAS Y SERVICIOS SL,11,"118,230.00 Euros",No disponible,nan
176,A31_2019_31,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Procedimiento negociado sin publicidad para la contratación del servicio de mantenimiento de la herramienta Netex Contentcloud,,"1,400.00 Euros","8,400.00 Euros",Servicios,"72510000-Servicios de gestión relacionados con la informática., 30211300-Plataformas informáticas.",España - A Coruña,No aplica,Negociado sin publicidad,Ordinaria,Electrónica,20/05/2021 23:59,Adjudicado,Netex Knowledge Factory S.A,1,"1,330.00 Euros",No disponible,nan
177,521_2020_710,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Contratación, por procedimiento abierto con diversos criterios de valoración, del servicio de mantenimiento, conservación y reparación de desperfectos en la red de saneamiento.",,"1,652,892.55 Euros","8,264,462.77 Euros",Servicios,90400000-Servicios de alcantarillado.,España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Adjudicado,MANUEL RIVAS BOQUETE S.L.,5,"1,652,892.55 Euros",No disponible,nan
178,521_2021_221,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,suministro de energía eléctrica renovable del alumbrado público del Ayuntamiento de A Coruña,,"919,876.30 Euros","1,839,752.60 Euros",Suministros,09310000-Electricidad.,España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Desierto,,2,Euros,No disponible,nan
179,211_2021_70,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Servicio de desarrollo y gestión de los campamentos deportivos municipales de verano año 2021,,"125,189.77 Euros","125,189.77 Euros",Servicios,"92000000-Servicios de esparcimiento, culturales y deportivos., 85311300-Servicios de bienestar social proporcionados a niños y jóvenes., 85322000-Programa de acción municipal.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Adjudicado,AXIÑA SERVICIOS DEPORTIVOS S.L,11,"93,783.34 Euros",No disponible,nan
180,521_2020_493,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Procedimiento simplificado abreviado para la ejecución de las obras descritas en el proyecto de ejecución de aceras en la Avenida de San Cristóbal entre O Birloque y Matogrande. Presupuestos participativos 2018,,"72,569.61 Euros","72,569.61 Euros",Obras,45233262-Trabajos de construcción de zonas peatonales.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,03/05/2021 23:59,Adjudicado,"Construcciones López Cao, S.L.",4,"66,900.00 Euros",No disponible,nan
181,237_2020_187,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Procedimiento abierto simplificado de tramitación abreviada para contratar el suministro de biomasa combustible en forma de pellet para el sustento de la caldera de biomasa del Centro de Información a las Mujeres del Ayuntamiento de A Coruña.,,"3,380.00 Euros","10,140.00 Euros",Suministros,09111400-Combustibles de madera.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,17/12/2020 23:59,Adjudicado,GESTCALOR SL,2,235.00 Euros,No disponible,nan
182,521_2020_210,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,"Servicio de mantenimiento, conservación y reparación de los firmes y pavimentos de las calzadas comprendidas en el término municipal del Ayuntamiento de A Coruña que sean de titularidad municipal o de otras Administraciones Públicas cuando así venga establecido en el correspondiente convenio",,"1,652,891.09 Euros","8,264,455.45 Euros",Servicios,"50230000-Servicios de reparación, mantenimiento y servicios asociados relacionados con carreteras y otros equipos.",España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,18/06/2020 23:59,Adjudicado,"CANARGA, S.L.",4,"37,190.08 Euros",No disponible,nan
183,541_2020_961,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Obras de mejora de la accesibilidad de la ciudadanía y del uso de las playas del término municipal de A Coruña, cofinanciadas en un 80% por el Fondo Europeo de Desarrollo Regional (FEDER) en el marco del programa operativo plurirregional de España 2014-2020",Financiación con fondos de la UE,"147,684.70 Euros","147,684.70 Euros",Obras,"45246510-Trabajos de construcción de pasarelas de madera., 33141710-Muletas., 33141720-Andadores., 34928470-Señalización., 39112000-Sillas., 39113400-Tumbonas., 44411000-Aparatos sanitarios., 45233200-Trabajos diversos de pavimentación., 45262520-Trabajos de albañilería., 45420000-Trabajos de instalación de carpintería de madera.",España - A Coruña,No aplica,Abierto simplificado,Urgente,Electrónica,nan,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
184,541_2019_820,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Servicio de conservación y mantenimiento de la jardinería histórica y del arbolado singular de la ciudad de A Coruña,,"438,098.00 Euros","876,196.00 Euros",Servicios,77311000-Servicios de mantenimiento de jardines y parques.,España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Adjudicado,Jardineria Arce S.L.,13,"311,049.58 Euros",No disponible,nan
185,526_2020_22,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Servicio de desarrollo del itinerario formativo “Dinamización de Actividades de Tiempo Libre Educativo Infantil y Juvenil” del proyecto “Coruña Suma”, cofinanciado por el Fondo Social Europeo",Financiación con fondos de la UE,"170,442.56 Euros","170,442.56 Euros",Servicios,80530000-Servicios de formación profesional.,España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Adjudicado,OFICINA PROVINCIAL CRUZ ROJA ESPAÑOLA A CORUÑA,1,"170,442.56 Euros",No disponible,nan
186,521_2018_849,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,"procedemento simplificado abreviado contratación para contratar las obras de ampliación y reforma del parque infantil de Pedralonga”,",,"51,652.39 Euros","51,652.39 Euros",Obras,"45236210-Trabajos de explanación de áreas de juego para niños., 43325000-Equipo para parques y áreas de juego.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,28/10/2020 23:59,Adjudicado,TALUD VERDE SL,15,"41,354.00 Euros",No disponible,nan
187,CI1_2019_170,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,"Servicio de dinamización didáctica del Museo Arqueológico e Histórico (Castillo de San Antón, Castro de Elviña y estructuras defensivas de la ciudad)",,"14,875.10 Euros","74,375.50 Euros",Servicios,"92000000-Servicios de esparcimiento, culturales y deportivos.",España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,30/06/2020 23:59,Adjudicado,Galipat Servizos Culturais S.L.,4,"13,256.03 Euros",No disponible,nan
188,527_2019_19,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Servicio de limpieza de las instalaciones del Centro Municipal de Empresas ACCEDE Papagaio situadas en la Plaza del Papagaio s/n y del Centro Municipal de Empresas de Agrela situadas en la Calle Galileo Galilei, 62, Polígono de Agrela, que fomente la estabilidad en el empleo y el respeto al medio ambiente en su ejecución",,"24,716.28 Euros","121,509.55 Euros",Servicios,90911200-Servicios de limpieza de edificios.,España - A Coruña,,Abierto,Ordinaria,Electrónica,nan,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
189,106_2019_158,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Obras comprendidas en el proyecto de reforma para la mejora de accesibilidad de tres viviendas municipales situadas en el grupo de Nuestra Señora del Carmen,,"124,332.58 Euros","124,332.58 Euros",Obras,45200000-Trabajos generales de construcción de inmuebles y obras de ingeniería civil.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,20/05/2020 23:59,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
190,430_2020_4,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Suministro, por lotes, de combustible de calefacción y agua caliente sanitaria a centros e instalaciones del Ayuntamiento de A Coruña",,"887,947.36 Euros","2,803,741.98 Euros",Suministros,"09123000-Gas natural., 09134000-Gasóleos.",España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
191,100_2020_6,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Contratación de Servicios de nube pública en modalidad multicloud para el despliegue de servicios digitales a la ciudadanía,,"99,173.60 Euros","396,694.22 Euros",Servicios,"72000000-Servicios TI: consultoría, desarrollo de software, Internet y apoyo.",España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,04/09/2020 23:59,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
192,237_2024_65,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Servicios consistentes en el desarrollo de actividades de dinamización socioeducativa y adquisición de competencias lingüísticas, culturales, de desarrollo emocional, educativas, de relación interpersonal y sociales destinado a la población migrante, a desarrollar en períodos diferenciados: durante el período lectivo escolar unas y durante los períodos vacacionales otras.",No hay financiación con fondos de la UE,"50,460.15 Euros","100,920.30 Euros",Servicios,"85311300-Servicios de bienestar social proporcionados a niños y jóvenes., 80510000-Servicios de formación especializada.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,SARARTE S.L,2,0.00 Euros,No disponible,nan
193,236_2024_111,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,"Servicios de Asesoramiento, Coordinación y Organización de Acciones de Difusión de la Cultura Científica y Tecnológica dentro del Marco del Programa Imaxina Coruña 2024-2025",No hay financiación con fondos de la UE,"28,745.40 Euros","57,490.81 Euros",Servicios,"80510000-Servicios de formación especializada., 79956000-Servicios de organización de ferias y exposiciones.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,10/09/2024 23:59,Adjudicado,CEO ABERTO S.L.,4,"21,890.00 Euros",No disponible,nan
194,237_2024_77,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Servicios de conservación, mantenimiento y limpieza exterior en el Centro de Información a las Mujeres (CIM) del Ayuntamiento de A Coruña",No hay financiación con fondos de la UE,"5,977.67 Euros","8,966.52 Euros",Servicios,"77313000-Servicios de mantenimiento de parques., 45452000-Trabajos de limpieza exterior de edificios.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,"SOGESEL DESARROLLO Y GESTIÓN, S.L.",1,"5,975.68 Euros",No disponible,nan
195,231/2022/231,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,"Acuerdo Marco de suministro de fondos bibliográficos y audiovisuales con destino a la red municipal de bibliotecas del Ayuntamiento de A Coruña, por lotes",No hay financiación con fondos de la UE,"2,906.73 Euros","2,906.73 Euros",Suministros,22113000-Libros para biblioteca.,España - A Coruña,Contrato basado en un Acuerdo Marco,Abierto,Ordinaria,Electrónica,nan,Adjudicado,Librería Formatos S.L.,3,"2,906.73 Euros",No disponible,nan
196,231/2022/231,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,"Acuerdo Marco de suministro de fondos bibliográficos y audiovisuales con destino a la red municipal de bibliotecas del Ayuntamiento de A Coruña, por lotes",No hay financiación con fondos de la UE,"5,011.84 Euros","5,011.84 Euros",Suministros,22113000-Libros para biblioteca.,España - A Coruña,Contrato basado en un Acuerdo Marco,Abierto,Ordinaria,Electrónica,nan,Adjudicado,LIBRERIA ARENAS SL,3,"5,011.84 Euros",No disponible,nan
197,541_2023_1173,92288952-4364-42af-8bcf-daa99fd00f27,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Procedimiento abierto para la adjudicación del contrato del servicio de conservación y mantenimiento de los cementerios municipales.,No hay financiación con fondos de la UE,"300,504.15 Euros","751,260.35 Euros",Servicios,98371111-Servicios de mantenimiento de cementerios.,España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Formalizado,"ACIERTA ASISTENCIA, S.A.",1,"78,382.48 Euros",No disponible,nan
198,244_2024_246,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Procedimiento abierto simplificado abreviado del servicio para la gestión íntegra de la actividad municipal “Comparte tus juguetes en La Casa de Juguetes”.,No hay financiación con fondos de la UE,"14,723.21 Euros","29,446.42 Euros",Servicios,98390000-Otros servicios.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,23/07/2024 23:59,Adjudicado,"Enxame, S. Coop. Galega",4,"11,890.00 Euros",No disponible,nan
199,231/2022/231,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,"Acuerdo Marco de suministro de fondos bibliográficos y audiovisuales con destino a la red municipal de bibliotecas del Ayuntamiento de A Coruña, por lotes",No hay financiación con fondos de la UE,"3,098.13 Euros","3,098.13 Euros",Suministros,22113000-Libros para biblioteca.,España - A Coruña,Contrato basado en un Acuerdo Marco,Abierto,Ordinaria,Electrónica,nan,Adjudicado,Librería Formatos S.L.,3,"3,098.13 Euros",No disponible,nan
200,430_2024_7,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,"Procedimiento abierto simplificado abreviado para el contrato de suministro de vestuario para el personal de cementerios (lote 1) y para el personal del servicio de interior y atención ciudadana, protocolo y conserjería (lote 2)",No hay financiación con fondos de la UE,"26,024.95 Euros","20,392.14 Euros",Suministros,"18100000-Ropa de trabajo, ropa de trabajo especial y accesorios.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,05/07/2024 23:59,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
201,231/2022/231,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,"Acuerdo Marco de suministro de fondos bibliográficos y audiovisuales con destino a la red municipal de bibliotecas del Ayuntamiento de A Coruña, por lotes",No hay financiación con fondos de la UE,"3,215.04 Euros","3,215.04 Euros",Suministros,22113000-Libros para biblioteca.,España - A Coruña,Contrato basado en un Acuerdo Marco,Abierto,Ordinaria,Electrónica,nan,Adjudicado,LIBRERIA AZETA,3,"3,215.04 Euros",No disponible,nan
202,AD0_2024_28,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Procedimiento abierto para la contratación de los servicios de agencia de viajes para el personal del Ayuntamiento de A Coruña.,No hay financiación con fondos de la UE,"87,997.98 Euros","219,994.95 Euros",Servicios,63510000-Servicios de agencias de viajes y servicios similares.,España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Formalizado,INTEGRACION AGENCIAS DE VIAJES S.A.,1,"87,997.98 Euros",No disponible,nan
203,521_2024_128,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Procedimiento abierto simplificado para la contratación de las obras incluidas en el proyecto denominado “Humanización y mejora de la accesibilidad en el entorno del Agra del Orzán – Presupuestos Participativos 2022 – propuesta 4054”,No hay financiación con fondos de la UE,"121,941.94 Euros","121,941.94 Euros",Obras,45233252-Trabajos de pavimentación de calles.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,"CONSTRUCCIONES CERNADAS, S.L.",2,"118,285.12 Euros",No disponible,nan
204,237_2024_41,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Servicios de Atención a la Infancia para la Conciliación de la Vida Laboral, Familiar y Personal (Servicio de Canguros Municipales), en su Modalidad de Atención de la Infancia a Domicilio",No hay financiación con fondos de la UE,"168,151.34 Euros","252,227.01 Euros",Servicios,"85311300-Servicios de bienestar social proporcionados a niños y jóvenes., 85312110-Servicios de cuidado diurno para niños., 85312120-Servicios de cuidado diurno para niños y jóvenes personas con discapacidad.",España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Desierto,,0,Euros,No disponible,nan
